connexion;geo_point_2d;geo_shape;id_gares;nom_gares;id_ref_zdc;nom_zdc;id_ref_zda;idrefliga;res_com;ligne;mode;tertrain;terrer;termetro;tertram;terval;exploitant;color;style;idf;principal;x;y;
664;48.862884803620496,2.3125135549259594;"{""coordinates"": [2.312513554925959, 48.862884803620496], ""type"": ""Point""}";361;Invalides;71274;Invalides;470540;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;649563.2682;6862758.6946;
367;48.819343961671926,2.2578938975150784;"{""coordinates"": [2.257893897515078, 48.819343961671926], ""type"": ""Point""}";366;Issy;70612;Issy;43084;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;645510.7668;6857953.7249;
57;48.83059547530458,2.264069650250567;"{""coordinates"": [2.264069650250567, 48.83059547530458], ""type"": ""Point""}";367;Issy-Val-de-Seine;71016;Issy Val de Seine;462357;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;645975.8689;6859200.5034;
71;48.81398905107478,2.391686971662538;"{""coordinates"": [2.391686971662538, 48.81398905107478], ""type"": ""Point""}";369;Ivry-sur-Seine;424396;Ivry-sur-Seine;46366;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;655329.7373;6857274.321;
141;48.84715690062344,2.2780362819959077;"{""coordinates"": [2.278036281995908, 48.84715690062344], ""type"": ""Point""}";376;Javel;71150;Javel;45346;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647017.9577;6861032.4801;
594;48.8210388141285,2.4638567953623154;"{""coordinates"": [2.463856795362315, 48.8210388141285], ""type"": ""Point""}";378;Joinville-le-Pont;70640;Joinville-le-Pont;43135;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;660634.6208;6858019.7683;
874;48.76477601201801,2.1639470858818313;"{""coordinates"": [2.163947085881831, 48.76477601201801], ""type"": ""Point""}";380;Jouy-en-Josas;63523;Jouy-en-Josas;43136;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;638548.7141;6851955.6623;
31;48.689764621447345,2.382846099452605;"{""coordinates"": [2.382846099452605, 48.689764621447345], ""type"": ""Point""}";385;Juvisy;478505;Juvisy;45739;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;1;654572.589;6843467.9193;
893;48.689567256029264,2.383833358799738;"{""coordinates"": [2.383833358799738, 48.689567256029264], ""type"": ""Point""}";387;Juvisy;478505;Juvisy;45739;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;654645.0864;6843445.4096;
;48.689567256029264,2.383833358799738;"{""coordinates"": [2.383833358799738, 48.689567256029264], ""type"": ""Point""}";387;Juvisy;478505;Juvisy;45739;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;1;654645.0864;6843445.4096;
427;48.92435387872672,2.386388291064693;"{""coordinates"": [2.386388291064693, 48.92435387872672], ""type"": ""Point""}";34;La Courneuve-Aubervilliers;72598;La Courneuve - Aubervilliers;43140;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;655036.0121;6869549.1208;
622;48.7616936894725,2.304227347551859;"{""coordinates"": [2.304227347551859, 48.7616936894725], ""type"": ""Point""}";392;La Croix-de-Berny-Fresnes;69813;La Croix de Berny;46007;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;648856.2342;6851512.9527;
577;48.891688138011865,2.2385952173384704;"{""coordinates"": [2.23859521733847, 48.891688138011865], ""type"": ""Point""}";393;La Défense;71517;La Défense (Grande Arche);470549;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;1;644171.3691;6866011.1458;
48;48.48551429888663,2.3521938145868435;"{""coordinates"": [2.352193814586844, 48.48551429888663], ""type"": ""Point""}";396;La Ferté-Alais;59661;La Ferté-Alais;43142;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;652130.1071;6820780.3661;
118;48.695264121172805,2.15164203862357;"{""coordinates"": [2.15164203862357, 48.695264121172805], ""type"": ""Point""}";401;La Hacquinière;62825;La Hacquinière;47046;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;637561.275;6844237.2403;
108;48.59111919881552,2.266213853170555;"{""coordinates"": [2.266213853170555, 48.59111919881552], ""type"": ""Point""}";402;La Norville;60115;La Norville - Saint-Germain-lès-Arpajon;47939;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;645885.8486;6832575.0053;
34;48.91800820485815,2.362470767055212;"{""coordinates"": [2.362470767055212, 48.91800820485815], ""type"": ""Point""}";404;La Plaine-Stade de France;72211;La Plaine Stade de France - Saint-Denis - Aubervilliers;43145;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;653277.7337;6868857.3799;
142;48.79538383468007,2.5134232981847133;"{""coordinates"": [2.513423298184713, 48.79538383468007], ""type"": ""Point""}";405;La Varenne-Chennevières;72998;La Varenne - Chennevières;43146;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;664256.3285;6855143.6716;
327;48.808296587696724,2.3343543096396475;"{""coordinates"": [2.334354309639648, 48.808296587696724], ""type"": ""Point""}";403;Laplace;70427;Laplace;43607;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;651114.3866;6856675.358;
101;48.52040359013404,2.2547397024275164;"{""coordinates"": [2.254739702427516, 48.52040359013404], ""type"": ""Point""}";424;Lardy;59761;Lardy;43149;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;644965.501;6824722.0741;
37;48.93230541513496,2.475674370833511;"{""coordinates"": [2.475674370833511, 48.93230541513496], ""type"": ""Point""}";77;Le Blanc-Mesnil;72648;Le Blanc-Mesnil;46163;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;661584.448;6870386.1867;
242;48.930739569383356,2.4257914255599533;"{""coordinates"": [2.425791425559953, 48.930739569383356], ""type"": ""Point""}";427;Le Bourget;72641;Le Bourget;43231;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;657928.49;6870237.4878;
277;48.62333224013671,2.451409095593274;"{""coordinates"": [2.451409095593274, 48.62333224013671], ""type"": ""Point""}";428;Le Bras-de-Fer;60422;Le Bras de Fer;45850;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;659567.9704;6836045.1779;
298;48.877157838768376,2.552881649780831;"{""coordinates"": [2.552881649780831, 48.877157838768376], ""type"": ""Point""}";181;Le Chénay-Gagny;73266;Le Chénay Gagny;43127;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;667206.3725;6864219.085;
433;48.56611781980045,2.492713002881577;"{""coordinates"": [2.492713002881577, 48.56611781980045], ""type"": ""Point""}";214;Le Coudray-Montceaux;59953;Le Coudray-Montceaux;45824;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;662571.2287;6829664.4286;
483;48.7054039238503,2.1927348848067565;"{""coordinates"": [2.192734884806756, 48.7054039238503], ""type"": ""Point""}";429;Le Guichet;63025;Le Guichet;43232;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;640597.1051;6845332.8158;
135;48.53877525569195,2.6255221550663017;"{""coordinates"": [2.625522155066302, 48.53877525569195], ""type"": ""Point""}";430;Le Mée;62003;Le Mée;45784;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;672355.684;6826570.1821;
826;48.80537766122676,2.486349748779074;"{""coordinates"": [2.486349748779074, 48.80537766122676], ""type"": ""Point""}";431;Le Parc de Saint-Maur;70359;Le Parc de Saint-Maur;43234;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;662274.7753;6856267.4523;
894;48.573807792623285,2.479469169601777;"{""coordinates"": [2.479469169601777, 48.573807792623285], ""type"": ""Point""}";433;Le Plessis-Chenet;60006;Le Plessis Chenet;45820;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;661599.7184;6830525.6467;
89;48.888865741372086,2.513157532747811;"{""coordinates"": [2.513157532747811, 48.888865741372086], ""type"": ""Point""}";434;Le Raincy-Villemomble-Montfermeil;73297;Le Raincy - Villemomble - Montfermeil;47901;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;664300.8931;6865538.1823;
172;48.8900862346195,2.134600875228716;"{""coordinates"": [2.134600875228716, 48.8900862346195], ""type"": ""Point""}";438;Le Vésinet-Centre;64514;Le Vésinet Centre;53784;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;636544.5065;6865911.5752;
438;48.897973445402116,2.122117447472966;"{""coordinates"": [2.122117447472966, 48.897973445402116], ""type"": ""Point""}";439;Le Vésinet-Le Pecq;64582;Le Vésinet - Le Pecq;43237;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;635638.9457;6866798.6735;
498;48.788466672616934,2.4322435333606984;"{""coordinates"": [2.432243533360698, 48.788466672616934], ""type"": ""Point""}";437;Le Vert-de-Maisons;73624;Le Vert de Maisons;464040;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;658287.4706;6854414.3946;
918;48.78222618259531,2.409590234985702;"{""coordinates"": [2.409590234985702, 48.78222618259531], ""type"": ""Point""}";444;Les Ardoines;70064;Les Ardoines;43227;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;656617.9966;6853732.7521;
286;48.739681041595524,2.2876674954630727;"{""coordinates"": [2.287667495463073, 48.739681041595524], ""type"": ""Point""}";445;Les Baconnets;69622;Les Baconnets;43228;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;647616.9325;6849076.4381;
593;48.824848568564235,2.5118555534510065;"{""coordinates"": [2.511855553451007, 48.824848568564235], ""type"": ""Point""}";446;Les Boullereaux-Champigny;73098;Les Boullereaux Champigny;58267;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;664161.4175;6858420.5153;
326;48.92087280342236,2.313835382457718;"{""coordinates"": [2.313835382457718, 48.92087280342236], ""type"": ""Point""}";450;Les Grésillons;72225;Les Grésillons;43230;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;649716.2727;6869205.7905;
482;49.03318276809758,2.4780333651150817;"{""coordinates"": [2.478033365115082, 49.03318276809758], ""type"": ""Point""}";452;Les Noues;66650;Les Noues;47968;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;661831.4373;6881603.1594;
185;48.745072165958895,2.417520977896491;"{""coordinates"": [2.417520977896491, 48.745072165958895], ""type"": ""Point""}";454;Les Saules;69662;Les Saules;46298;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;657170.2467;6849597.5353;
912;48.82315185489966,2.5798372539116783;"{""coordinates"": [2.579837253911678, 48.82315185489966], ""type"": ""Point""}";968;Les Yvris-Noisy-le-Grand;73096;Les Yvris Noisy-le-Grand;58288;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;669151.4423;6858203.1511;
196;48.628375550788355,2.56958354823646;"{""coordinates"": [2.56958354823646, 48.628375550788355], ""type"": ""Point""}";468;Lieusaint-Moissy;62412;Lieusaint - Moissy;47669;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;668280.5752;6836551.8559;
596;48.83921929901705,2.6332109134176322;"{""coordinates"": [2.633210913417632, 48.83921929901705], ""type"": ""Point""}";473;Lognes;68123;Lognes;43152;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;673078.4315;6859970.1835;
845;49.049325599952056,2.501758065846462;"{""coordinates"": [2.501758065846462, 49.049325599952056], ""type"": ""Point""}";482;Louvres;69300;Louvres;44628;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;663577.5993;6883387.227;
617;48.705968983887125,2.2122623780174924;"{""coordinates"": [2.212262378017492, 48.705968983887125], ""type"": ""Point""}";483;Lozère;63029;Lozère;474069;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;642034.6212;6845381.1235;
827;48.84543414954589,2.339762849560475;"{""coordinates"": [2.339762849560475, 48.84543414954589], ""type"": ""Point""}";484;Luxembourg;71161;Luxembourg;43833;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;651546.1125;6860801.2806;
343;48.88077520385858,2.358732959087859;"{""coordinates"": [2.358732959087859, 48.88077520385858], ""type"": ""Point""}";490;Magenta;478733;Gare du Nord;58572;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;652970.1854;6864719.4497;
307;48.80204937938918,2.426482408484047;"{""coordinates"": [2.426482408484047, 48.80204937938918], ""type"": ""Point""}";498;Maisons-Alfort-Alfortville;73625;Maisons-Alfort - Alfortville;43154;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;657875.1827;6855927.6603;
6;48.94550297097257,2.145017437654258;"{""coordinates"": [2.145017437654258, 48.94550297097257], ""type"": ""Point""}";501;Maisons-Laffitte;65048;Maisons-Laffitte;473109;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;637374.9956;6872065.3017;
106;48.3936415468044,2.3934107240666367;"{""coordinates"": [2.393410724066637, 48.3936415468044], ""type"": ""Point""}";503;Maisse;59470;Maisse;43156;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;655097.3353;6810544.2369;
70;48.869950134005364,2.7822267234490363;"{""coordinates"": [2.782226723449036, 48.869950134005364], ""type"": ""Point""}";182;Marne-la-Vallée-Chessy;68385;Marne-la-Vallée Chessy;43239;A01856;RER A;A;RER;0;RER A;0;0;0;RATP;#F7403A;solid;1;1;684025.274;6863346.7947;
108;48.565593861886065,2.290924468489717;"{""coordinates"": [2.290924468489717, 48.565593861886065], ""type"": ""Point""}";518;Marolles-en-Hurepoix;59948;Marolles-en-Hurepoix;43159;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647682.6387;6829720.8564;
523;48.72509804026411,2.259946049525821;"{""coordinates"": [2.259946049525821, 48.72509804026411], ""type"": ""Point""}";520;Massy-Palaiseau;63244;Massy - Palaiseau;58774;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;1;645563.2328;6847473.8777;
524;48.725997091123524,2.2583229936112406;"{""coordinates"": [2.258322993611241, 48.725997091123524], ""type"": ""Point""}";522;Massy-Palaiseau;63244;Massy - Palaiseau;58774;A01840;RER C;C;RER;0;RER C;0;0;0;SNCF;#F3D311;solid;1;1;645444.7867;6847574.9519;
;48.725997091123524,2.2583229936112406;"{""coordinates"": [2.258322993611241, 48.725997091123524], ""type"": ""Point""}";522;Massy-Palaiseau;63244;Massy - Palaiseau;58774;A01840;RER C;C;RER;0;RER C;0;0;0;SNCF;#F3D311;solid;1;1;645444.7867;6847574.9519;
445;48.734888146410114,2.2740024044842473;"{""coordinates"": [2.274002404484247, 48.734888146410114], ""type"": ""Point""}";523;Massy-Verrières;63320;Massy - Verrières;47940;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;646607.1661;6848552.7229;
179;48.734888146410114,2.2740024044842473;"{""coordinates"": [2.274002404484247, 48.734888146410114], ""type"": ""Point""}";524;Massy-Verrières;63320;Massy - Verrières;47940;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;646607.1661;6848552.7229;
430;48.52724332052425,2.6549902821418874;"{""coordinates"": [2.654990282141887, 48.52724332052425], ""type"": ""Point""}";530;Melun;61926;Melun;47909;A01842;RER D;D;RER;0;RER D;0;0;0;SNCF;#3F9C35;solid;1;1;674525.434;6825278.3423;
921;48.52724332052425,2.6549902821418874;"{""coordinates"": [2.654990282141887, 48.52724332052425], ""type"": ""Point""}";530;Melun;61926;Melun;47909;A01842;RER D;D;RER;0;RER D;0;0;0;SNCF;#3F9C35;solid;1;1;674525.434;6825278.3423;
571;48.57059685778347,2.432098533660356;"{""coordinates"": [2.432098533660356, 48.57059685778347], ""type"": ""Point""}";534;Mennecy;59984;Mennecy;47899;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;658102.6114;6830192.7879;
366;48.80749262484541,2.240883069335647;"{""coordinates"": [2.240883069335647, 48.80749262484541], ""type"": ""Point""}";540;Meudon-Val-Fleury;70412;Meudon Val Fleury;43163;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;644249.1144;6856647.9002;
904;48.97585875308649,2.6424063023101887;"{""coordinates"": [2.642406302310189, 48.97585875308649], ""type"": ""Point""}";551;Mitry-Claye;69065;Mitry - Claye;43164;A01857;RER B;B;RER;0;RER B;0;0;0;SNCF;#4B92DB;solid;1;1;673822.1592;6875161.2649;
901;48.7082378276465,2.462282244689791;"{""coordinates"": [2.462282244689791, 48.7082378276465], ""type"": ""Point""}";556;Montgeron-Crosne;63072;Montgeron - Crosne;47684;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;660433.607;6845478.9578;
645;49.00776771833622,2.1965029019130347;"{""coordinates"": [2.196502901913035, 49.00776771833622], ""type"": ""Point""}";559;Montigny-Beauchamp;66335;Montigny - Beauchamp;43166;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;641216.4811;6878949.6337;
207;48.58715390622369,2.4734903663442234;"{""coordinates"": [2.473490366344223, 48.58715390622369], ""type"": ""Point""}";571;Moulin-Galant;60084;Moulin Galant;45761;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;661168.5531;6832012.2082;
361;48.860351433091736,2.32675977444181;"{""coordinates"": [2.32675977444181, 48.860351433091736], ""type"": ""Point""}";574;Musée d'Orsay;71269;Musée d'Orsay;45705;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;650606.0;6862468.0;
357;48.89574531027312,2.2232129684066613;"{""coordinates"": [2.223212968406661, 48.89574531027312], ""type"": ""Point""}";577;Nanterre-Préfecture;70945;Nanterre Préfecture / Esplanade Charles De Gaulle;43169;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;643047.9676;6866473.262;
577;48.90101049482036,2.2135566086399576;"{""coordinates"": [2.213556608639958, 48.90101049482036], ""type"": ""Point""}";578;Nanterre-Université;70956;Nanterre Université;43170;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;1;642345.8425;6867065.7254;
578;48.89512589040026,2.1953639869129002;"{""coordinates"": [2.1953639869129, 48.89512589040026], ""type"": ""Point""}";580;Nanterre-Ville;70940;Nanterre Ville;43171;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;641005.5193;6866424.833;
306;48.848237109475654,2.3958235888261252;"{""coordinates"": [2.395823588826125, 48.848237109475654], ""type"": ""Point""}";582;Nation;71673;Nation;473875;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;655662.633;6861080.0037;
632;48.87790843722566,2.2844312199167676;"{""coordinates"": [2.284431219916768, 48.87790843722566], ""type"": ""Point""}";590;Neuilly Porte Maillot;71379;Porte Maillot;415093;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;647518.2308;6864447.5037;
869;48.85290746187024,2.5143124384334397;"{""coordinates"": [2.51431243843344, 48.85290746187024], ""type"": ""Point""}";589;Neuilly-Plaisance;73190;Neuilly-Plaisance;43172;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;664360.9851;6861539.3034;
129;49.014133684049256,2.078306591409993;"{""coordinates"": [2.078306591409993, 49.014133684049256], ""type"": ""Point""}";591;Neuville Université;66436;Neuville Université;47879;A01856;RER A;A;RER;0;0;0;0;0;SNCF;#F7403A;solid;1;0;632577.9185;6879752.0129;
868;48.839341938245695,2.494188055346114;"{""coordinates"": [2.494188055346114, 48.839341938245695], ""type"": ""Point""}";593;Nogent-le-Perreux;71609;Nogent - Le Perreux;46552;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;662874.6459;6860040.2011;
289;48.83428889796156,2.4716812425710324;"{""coordinates"": [2.471681242571032, 48.83428889796156], ""type"": ""Point""}";594;Nogent-sur-Marne;71590;Nogent-sur-Marne;47886;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;661218.966;6859489.1681;
597;48.843509238513676,2.6166786246946017;"{""coordinates"": [2.616678624694602, 48.843509238513676], ""type"": ""Point""}";596;Noisiel;68153;Noisiel;44199;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;671867.3203;6860452.9548;
598;48.84288483988904,2.5800859119743556;"{""coordinates"": [2.580085911974356, 48.84288483988904], ""type"": ""Point""}";597;Noisy-Champs;73163;Noisy - Champs;58937;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;669181.367;6860397.1861;
116;48.84084437122463,2.549900487641345;"{""coordinates"": [2.549900487641345, 48.84084437122463], ""type"": ""Point""}";598;Noisy-le-Grand-Mont d'Est;479919;Noisy-le-Grand Mont d'Est;42613;A01856;RER A;A;RER;0;0;0;0;0;RATP;#F7403A;solid;1;0;666964.7068;6860182.5075;
620;48.896652450209764,2.458363412015992;"{""coordinates"": [2.458363412015992, 48.896652450209764], ""type"": ""Point""}";599;Noisy-le-Sec;72041;Noisy-le-Sec;44201;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;660288.9577;6866430.2001;
337;48.6363513661665,2.4077962861739053;"{""coordinates"": [2.407796286173905, 48.6363513661665], ""type"": ""Point""}";609;Orangis-Bois de l'Epine;60542;Orangis Bois de l'Épine;48489;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;656364.5494;6837515.7345;
454;48.741878704743876,2.4029086073679395;"{""coordinates"": [2.40290860736794, 48.741878704743876], ""type"": ""Point""}";611;Orly Ville;69639;Orly Ville;46299;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;656093.1327;6849250.5092;
429;48.697505669868114,2.181054439041218;"{""coordinates"": [2.181054439041218, 48.697505669868114], ""type"": ""Point""}";612;Orsay-Ville;62892;Orsay Ville;43086;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;639728.5187;6844463.5866;
964;48.770778916124826,2.6902527821957585;"{""coordinates"": [2.690252782195758, 48.770778916124826], ""type"": ""Point""}";965;Ozoir-la-Ferrière;462934;Ozoir-la-Ferrière;462901;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;0;677235.3132;6852342.427;
520;48.716946286650035,2.2456725145819054;"{""coordinates"": [2.245672514581905, 48.716946286650035], ""type"": ""Point""}";616;Palaiseau;63175;Palaiseau;47009;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;644504.6761;6846577.5278;
616;48.70814058271019,2.2373143646394547;"{""coordinates"": [2.237314364639455, 48.70814058271019], ""type"": ""Point""}";617;Palaiseau-Villebon;63067;Palaiseau - Villebon;43175;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;643880.336;6845604.4536;
1196;48.89811230534608,2.400361703159175;"{""coordinates"": [2.400361703159175, 48.89811230534608], ""type"": ""Point""}";620;Pantin;72421;Pantin;43176;A01843;RER E;E;RER;0;0;0;0;0;SNCF;#DE81D3;solid;1;1;656037.7706;6866623.2615;
102;48.7695633327529,2.309905064564245;"{""coordinates"": [2.309905064564245, 48.7695633327529], ""type"": ""Point""}";622;Parc de Sceaux;69906;Parc de Sceaux;43177;A01857;RER B;B;RER;0;0;0;0;0;RATP;#4B92DB;solid;1;0;649281.2192;6852384.2514;
905;48.97342490628139,2.5143602855334923;"{""coordinates"": [2.514360285533492, 48.97342490628139], ""type"": ""Point""}";621;Parc des Expositions;73568;Parc des Expositions;47878;A01857;RER B;B;RER;0;0;0;0;0;SNCF;#4B92DB;solid;1;0;664446.919;6874940.6593;
828;48.84252802674902,2.3654333833527588;"{""coordinates"": [2.365433383352759, 48.84252802674902], ""type"": ""Point""}";38;Paris Austerlitz;71135;Gare d'Austerlitz;462352;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;1;653427.3991;6860462.7023;
688;48.88604139898206,2.299279102380643;"{""coordinates"": [2.299279102380643, 48.88604139898206], ""type"": ""Point""}";632;Pereire-Levallois;71453;Péreire;44314;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;648615.2115;6865342.0675;
380;48.77163431277776,2.146972741512856;"{""coordinates"": [2.146972741512856, 48.77163431277776], ""type"": ""Point""}";638;Petit-Jouy-les-Loges;63594;Petit Jouy Les Loges;57674;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;637309.3571;6852731.511;
322;48.96375542868628,2.372103138402568;"{""coordinates"": [2.372103138402568, 48.96375542868628], ""type"": ""Point""}";643;Pierrefitte Stains;72787;Pierrefitte - Stains;43179;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;654024.0938;6873938.8178;
960;49.019136738908486,2.1546634856409232;"{""coordinates"": [2.154663485640923, 49.019136738908486], ""type"": ""Point""}";645;Pierrelaye;66491;Pierrelaye;43180;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;638169.176;6880245.8814;
4;48.93326540519439,2.0410722896759257;"{""coordinates"": [2.041072289675926, 48.93326540519439], ""type"": ""Point""}";660;Poissy;64883;Poissy;47874;A01856;RER A;A;RER;0;RER A;0;0;0;SNCF;#F7403A;solid;1;1;629745.1416;6870791.9926;
141;48.86266245075987,2.300989969386769;"{""coordinates"": [2.300989969386769, 48.86266245075987], ""type"": ""Point""}";664;Pont de l'Alma;71271;Pont de l'Alma;415091;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;648717.6553;6862741.3932;
611;48.748349681429666,2.373111940704934;"{""coordinates"": [2.373111940704934, 48.748349681429666], ""type"": ""Point""}";670;Pont de Rungis;69677;Pont de Rungis Aéroport d'Orly;47907;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;653907.804;6849986.9378;
376;48.83908975449538,2.2704582437872416;"{""coordinates"": [2.270458243787242, 48.83908975449538], ""type"": ""Point""}";57;Pont du Garigliano;74002;Pont du Garigliano - Hôpital Européen G. Pompidou;58798;A01840;RER C;C;RER;0;0;0;0;0;SNCF;#F3D311;solid;1;0;646453.5639;6860140.6142;
819;48.53513976605376,2.544348950368585;"{""coordinates"": [2.544348950368585, 48.53513976605376], ""type"": ""Point""}";672;Ponthierry-Pringy;61976;Ponthierry - Pringy;45812;A01842;RER D;D;RER;0;0;0;0;0;SNCF;#3F9C35;solid;1;0;666361.1282;6826197.5486;
;49.04664576170749,2.0951950672259683;"{""coordinates"": [2.095195067225968, 49.04664576170749], ""type"": ""Point""}";676;Pontoise;66816;Pontoise;44411;A01840;RER C;C;RER;0;RER C;0;0;0;SNCF;#F3D311;solid;1;1;633854.6907;6883353.2516;
